"FID","CABO","LANCE_CABO","COMP_LCCB","CAPAC_LCCB","FABRICANTE","MODELO","FUNCAO","ORIGEM","ORIGEM_ELM","SCNL","LOCALIDADE","MUNICIPIO","UF","FIDLCECB","EST_FISICA","ESTADO_PRJ","SCNLCONTAB","EST_CONTAB","COND_AERE","COND_SUBT","COND_ENTE","COD_MATSAP","QTD_FACIL","MUN_ORI","MUN_DEST","INF_COMPL","ERROR"
311,"A.SUNA.04 (ANEL)","06","936.32","12",,"Cfoa-Sm-Asu-120-12","Acesso","CX EMD - 03/A.SUNA.04 (ANEL)/RJ/CAEL/POSTE - 0","CX EMD - 03","DQX","Duque De Caxias","Duque De Caxias","RJ","931583","SUNA","Projeto finalizado","CAEL","SUNA","936.30","0.00","0.00","319013","0","DUQUE DE CAXIAS","DUQUE DE CAXIAS","A_SER_LEVANTADO_PROJETO_CADASTRO_FIBRA_BR (CABO SEM GEOMETRIA)","1"
1341,"A.MCO.02(ANEL)","025","2023.84","36",,"Cfoa-Sm-As-80-G-36","Acesso","CX EMD - 024/A.MCO.02(ANEL)/RJ/NIU/POSTE - SN","CX EMD - 024","NIU","Nova Iguacu","Nova Iguacu","RJ","1181640","MCO","Projeto finalizado","NIU","MCO","2023.00","0.00","0.00","300560","0","NOVA IGUACU","NOVA IGUACU","A_SER_LEVANTADO_PROJETO_CADASTRO_FIBRA_BR (CABO SEM GEOMETRIA) * (44891)","1"
1350,"A.MCO.02(ANEL)","21","729.12","12",,"Cfoa-Sm-Asu-120-12","Acesso","CX EMD - 09496681/A.MCO.02(ANEL)/RJ/NIU/POSTE - SN","CX EMD - 09496681","NIU","Nova Iguacu","Nova Iguacu","RJ","931385","MCO","Projeto finalizado","NIU","MCO","729.10","0.00","0.00","319013","0","NOVA IGUACU","NOVA IGUACU","A_SER_LEVANTADO_PROJETO_CADASTRO_FIBRA_BR (CABO SEM GEOMETRIA)","1"
1776,"A.QUEA.01","2","2243.92","6","Desconhecido","Cfoa-Sm-Asu-120-6","Acesso","CX EMD - 1032/A.QUEA.01/RJ/QUEA/POSTE - 0","CX EMD - 1032","QUEA","Queimados","Queimados","RJ","932940","QUEA","Projeto finalizado","QUEA","QUEA","2243.00","0.00","0.00","319011","0","QUEIMADOS","QUEIMADOS","A_SER_LEVANTADO_PROJETO_CADASTRO_FIBRA_BR (CABO SEM GEOMETRIA) * (A1-40157-2010-OE-QUEA-RJ)","1"
2710,"A.BERO.07(ANEL)","94","2394.90","36","Desconhecido","Cfoa-Sm-As-80-G-36","Acesso","CX EMD - A1-41963 08/A.BERO.07(ANEL)/RJ/BERO/POSTE - SN","CX EMD - A1-41963 08","BERO","Belford Roxo","Belford Roxo","RJ","932936","BERO","Projeto finalizado","BERO","BERO","2394.00","0.00","0.00","300560","0","BELFORD ROXO","BELFORD ROXO","A_SER_LEVANTADO_PROJETO_CADASTRO_FIBRA_BR (CABO SEM GEOMETRIA) * (A1-41963-2011-OE-BERO-RJ)","1"
2711,"A.BERO.07(ANEL)","84","1094.35","36","Desconhecido","Cfoa-Sm-As-80-G-36","Acesso","CX EMD - A1-41963 03/A.BERO.07(ANEL)/RJ/BERO/POSTE - 0","CX EMD - A1-41963 03","BERO","Belford Roxo","Belford Roxo","RJ","936606","BERO","Projeto finalizado","BERO","BERO","1094.00","0.00","0.00","300560","0","BELFORD ROXO","BELFORD ROXO","A_SER_LEVANTADO_PROJETO_CADASTRO_FIBRA_BR (CABO SEM GEOMETRIA) * (A1-41963-2011-OE-BERO-RJ)","1"
6619,"A.SGO.12 (ANEL)","111142441","189.10","72","Plp","Cfoa-Sm-As-G-200-72","Acesso","CX EMD - 27/A.SGO.12 (ANEL)/RJ/SGO/POSTE - 0","CX EMD - 27","SGO","Sao Goncalo","Sao Goncalo","RJ","938834","SGO","Projeto finalizado","SGO","SGO","189.10","0.00","0.00","306170","0","SAO GONCALO","SAO GONCALO",,"1"
7160,"A.PDAL.15(ANEL)","63","362.88","12","Desconhecido","Cfoa-Sm-Asu-120-12","Acesso","CX EMD - 62498181/A.PDAL.15(ANEL)/RJ/SGO/POSTE - 0","CX EMD - 62498181","SGO","Sao Goncalo","Sao Goncalo","RJ","934684","PDAL","Projeto finalizado","SGO","PDAL","362.80","0.00","0.00","319013","0","SAO GONCALO","NITEROI","A_SER_LEVANTADO_PROJETO_CADASTRO_FIBRA_BR (ESTAÇÃO COINCIDENTE STC/CONVERSÃO POR SIGLA/NOME COM DISTÂNCIA MAIOR QUE 100 m)A_SER_LEVANTADO_PROJETO_CADASTRO_FIBRA_BR (CABO SEM GEOMETRIA) * (A2-42856-2011-OE-PDAL-RJ)","1"
14095,"A.PAV.04(ANEL)","17","211.68","12","Indefinido","Cfoa-Sm-Asu-120-12","Acesso","CX EMD - 09500468//RJ/RJO/POSTE - SN","CX EMD - 09500468","RJO","Rio De Janeiro","Rio De Janeiro","RJ","931199","PAV","Projeto finalizado","RJO","PAV","160.10","51.52","0.00","319013","0","RIO DE JANEIRO","RIO DE JANEIRO","A_SER_LEVANTADO_PROJETO_CADASTRO_FIBRA_BR (CABO SEM GEOMETRIA)","1"
19558,,"166","104.16","6","Desconhecido","Cfoa-Sm-Asu-120-6",,"CX EMD - 3503//RJ/RJO/POSTE - SN","CX EMD - 3503","RJO","Rio De Janeiro","Rio De Janeiro","RJ","936107","BGU","Projeto finalizado","RJO","BGU","104.10","0.00","0.00","319011","0","RIO DE JANEIRO","RIO DE JANEIRO","A_SER_LEVANTADO_PROJETO_CADASTRO_FIBRA_BR (CABO SEM GEOMETRIA) * (A2-42372-2011-OE-BGU-RJ)","1"
21258,"A.BACX.05(ANEL)","6","1186.08","6","Desconhecido","Cfoa-Sm-Asu-120-6","Acesso","CX EMD - 0553321/A.BACX.05(ANEL)/RJ/SQR/POSTE - 0","CX EMD - 0553321","SQR","Saquarema","Saquarema","RJ","938445","BACX","Projeto finalizado","SQR","SQR","1186.00","0.00","0.00","319011","0","SAQUAREMA","SAQUAREMA","A_SER_LEVANTADO_PROJETO_CADASTRO_FIBRA_BR (CABO SEM GEOMETRIA) * (A2-51786-2012-OG-BACX-RJ)","1"
75434,"A.PDAL.14(ANEL)","65","62.00","36","Desconhecido","Cfoa-Sm-As-80-G-36","Acesso","CX EMD - 63//RJ/NRI/POSTE - 0","CX EMD - 63","SGO","Sao Goncalo","Sao Goncalo","RJ","737380","PDAL",,"SGO","PDAL","62.00","0.00","0.00","300560","0","NITEROI","NITEROI","ATUALIZACAO MASSIVA CENARIO 2 PARA CENARIO 1 2021/08 * ()","1"
86750,"7620 CDC-NOF","3","2919.84","72","Desconhecido","Cfoa-Sm-Dd-G-72","Entroncamento","CX EMD - 01/A.CDC.02/RJ/NOF/CX SUBT - PORÃO.1","CX EMD - 01","NOF","Nova Friburgo","Nova Friburgo","RJ","2226314","CDC",,"NOF","CDC","2919.00","0.00","0.00","300557","0","NOVA FRIBURGO","NOVA FRIBURGO","PROJETO_CADASTRO_FIBRA - G01-030","1"
90211,"A.SGO.12 (ANEL)","123","139.33","72","Desconhecido","Cfoa-Sm-As-80-G-72","Acesso","CX EMD - 27/A.SGO.12 (ANEL)/RJ/SGO/POSTE - 0","CX EMD - 27","SGO","Sao Goncalo","Sao Goncalo","RJ","2564643",,,,,,,,"331726","0","SAO GONCALO","SAO GONCALO",,"1"
90212,"A.SGO.12 (ANEL)","023","139.33","72","Desconhecido","Cfoa-Sm-As-80-G-72","Acesso","CX EMD - 3001235/A.SGO.12 (ANEL)/RJ/SGO/POSTE - SN","CX EMD - 3001235","SGO","Sao Goncalo","Sao Goncalo","RJ","2564642",,,,,,,,"331726","0","SAO GONCALO","SAO GONCALO",,"1"
90270,"A.PDAL.14(ANEL)","54","317.80","72","Plp","Cfoa-Sm-As-80-G-72","Acesso","CX EMD - 02/A.PDAL.14(ANEL)/RJ/PDAL/POSTE - 0","CX EMD - 02","PDAL","Pedro De Alcantara","Sao Goncalo","RJ","2565048",,,,,,,,"331726","0","SAO GONCALO","SAO GONCALO",,"1"
